akkadian,english
gín kù.babbar sig₅ i-ṣé-er puzur₄-a-šur dumu a-ta-a a-lá-hu-um i-šu,puzur-aššur son of ataya owes 22 shekels of good silver to ali-ahum.
iš-tù ha-muš-tim ša ì-lí-dan itu.kam ša ke-na-tim li-mu-um e-na-sú-in a-na itu 14 ha-am-ša-tim i-ša-qal,"reckoned from the week of ilī-dan, month of ša-kēnātim, in the eponymy of enna-suen, he will pay in 14 weeks."
túg u-la i-dí-na-ku-um,<gap> he did not give you a textile.
i-tù-ra-ma 9 gín kù.babbar,he returned and 9 shekels of silver <gap>
kišib šu-{d}en.líl dumu šu-ku-bi-im kišib ṣí-lu-lu dumu,"seal of šu-illil son of šu-kūbum, seal of ṣilūlu son of uku."
ú-ku i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na kù.babbar a-na,"when iddin-abum spoke his will, he gave 10 minas ofדsilver to šalim-aššur."
ša-lim-a-šùr i-dí-in um-ma šu-ut-ma i-ṣí-ba-at kù-pì-a li-il₅-qé,"he said: he may take it from the interest on my silver."""""
<gap> ša lá ta-ha-dì-ri a-na ištar-lá-ma-sí qí-bi₄-ma šu-ma a-ha-tí,"to ištar-lamassī: if you are truly my sister, then encourage her."
a-ta li-ba-am,do not fear.
dì-ni-ší-im lá ta-ha-da-ar a-na ni-ta-ah-šu-šar qí-bi₄-ma,to nitahšušar: air the -textiles that i left.
túg-pì-ri-kà-ni ša e-zi-bu na-pí-ší-šu-nu ù,"also, the tablets should be guarded."
ṭup-pu-ú lu ša-ṣú-ru pì-ri-kà-nu ša ma-tí ù tí-bu-lá ma-a-<gap> iš-ta-ú-mu-ni a-dí en-um-a-šùr i-lá-kà-ni a ma-ma-an lá tù-šé-ri <gap> gín kù.babbar {d}utu-tap-pá-i,the which mati? and tibula <gap> have bought do not release (them) to anyone before ennam-aššur arrives. šamaš-tappā'ī brought you <gap> shekels of silver.
um-ma šu-ta-mu-zi e-lá-a en-um-a-šùr ù lá-ma-sí-ma a-na en-um-a-šùr ù a-lá-hi-im,"from šu-tammuzī, elaya, ennam-aššur and lamassī to ennam-aššur and ali-ahum: in accordance with your missive we have hired a attorney for you; abiya son of bebe is our attorney."
i-na ša-ha-tí-ku-nu li-zi-iz-ma i-na,the compound interest should not grow too big for you and make you unhappy.
kù.babbar pá-ni-ma,act so as to save your father's house.
ta-da-ga-lá-ma ṭup-pu ha-ru-mu-tum ú ba-ba-a-tum ru-qá-tum i-ba-ší-ú ṭup-pí,"we gave 16.3333 shekels of silver for their disposal; 36.6666 shekels of silver, their expenses, we borrowed in a merchant-house against interest."
ku-un-kà-ma a-na dumu um-me-a-nim ke-nim,seal silver there and send it with the first transport so we can pay back the merchant.
ša ki-ma ku-nu-tí pí-iq-da-ma u₄-me-e-ku-nu ba-lu-um,"also, send at least 1 or 2 minas of silver; send it so we can store 40 litres of grain before you come."
mì-ma-ma lá tù-ri-qá-ma lá ta-sà-hu-ra iš-tí,"elaya says: if you are truly my brothers, you must seal the proceeds from the textile in silver and do me a favour."
ub-lu-ú mì-ma pí-ri-kà-ni-e a-ni-ú-tim a-na ta-ad-mì-iq-tim ištar-lá-ma-sí ta-ta-dí-in,all these pirikannus ištar-lamassī has given as free loans.
a-wa-tim a-ni-a-tim kà-ru-um wa-ah-šu-ša-na i-dí-ni-a-tí-ma igi gír ša a-šu,"witnessed by aššur-idī, by elāli; puzur-ilī son of balzuenum was our (absent) partner."
um-ma i-tur₄-dingir-ma a-na en-um-a-šur ù a-lá-hi-im qí-bi-ma a-pu-tum a-pu-tum ra-ma-ku-nu za-ki-a-ma mì-ma urudu a-na bu-ru-uš-ha-dim,"from itūr-ilī to ennam-aššur and ali-ahum: urgent, urgent, clear yourselves and do not send any copper to burušhaddum!"
lá tù-šé-ba-lá a-ma-tum-ma a-ba-tí-iq ú ú-tù-ur dí-na-ma kù.babbar le-qé-a-ma tí-ib-a-ni-ma,"sell even the slave-girls for any price, take the silver and set out and come!"
a-tal-kà-nim a ma-lá i pá-ni-tim a-na be-el kù.babbar ú-sá-li-ú-ma lá im-gu₅-ru-ni-ni ú-ma-am im-ta-ag-ru-ni,as i previously pleaded with the financiers and they did not agree - today they have agreed!
a-hu-ú-a a-tù-nu lu a-wa-tum ba-at-qá-at a-ni-tum lá a-ni-tum tí-ir-ta-ak-nu li-li-kam-ma uz-ni pè-té-a,"my dear brothers, send me word and inform me one way or the other whether the affair has been settled."
a-hu-ú-a a-tù-nu ih-da,"my dear brothers, take care."
<gap> a-ki-dí-e ku-nu-ki-a 1 anše ṣa-lá-ma-am ša-lim-be-lí ú a-šur-pí-lá-ah na-áš-ú-ni-ku-nu-tí 15 gín kù.babbar,"<gap> akkadian textiles under my seal, 1 black donkey, this šalim-bēlī and aššur-pilah bring to you (plural)."
1 gín pá-zu-ur-tí-šu-nu ša-bu-ú túg ku-nu-ki-a li-im-nu-ú-ni-ku-nu-tí-ma ú túg,they have been paid in silver 0.3333 mina 1 shekel for their smuggling.
ša é a-lá-hi-im e-zi-bu-ni a-na ú-ku pí-iq-da-ma a-na dur₄-hu-mì-it a-na ṣé-ri-a lu-ub-lam 4 ma-na an.na ku-nu-ki-a ú-ku na-áš-a-ku-nu-tí a-ma-kam šu-ma,"let them count the textiles under my seal for you, and then entrust the textiles that i left in ali-ahum's house to uku and have him bring them to me in durhumit."
anše i-ha-ša-ah anše ša-ma-šu-um ú,uku brings you 4 minas of tin under my seal.
sá-hi-ir-tám ša-ma-šu-um anše ṣa-lá-ma-um ú,"if he wants a donkey there, buy him a donkey."
ú-nu-ut anše a-ší-ni,"also, buy him small goods."
<gap> sú ú ší-na pa-li-li ša ša-lim-be-lí ú a-šur-pí-lá-ah i-ra-dí-ú-ni-ku-nu-tí-ni a-na ú-ku dí-na-ma túg li-is-ri-dam <gap> na-ru-qá-tim,give uku a black donkey plus the donkey's harness <gap> plus 2 that šalim-bēlī and aššur-pliah lead to you and have him pack the textiles.
ú iš-ri-im dí-in <gap> a-na na-hu-ur ṭur₄-da-ni-šu <gap> na-áp-ri-sí a-ma-kam <gap> lu-ub-lam a-ga-da-tim <gap>-na-áš-a-kum,give <gap> sacks <gap> send him to nahur <gap> my chisel <gap> let him bring there <gap> he brings to you.
kišib a-šur-i-mì-tí dumu a-mur-lu-ṣú kišib a-bu-ša-lim dumu a-šùr-e-mu-qí a-na a-wa-tim,"seal of aššur-imittī son of amur-luṣu, seal of abu-šalim son of aššur-emūqī."
a-ni-a-tim ša ili₅-ba-ni dumu a-mur-a-šur ù a-hu-qar dumu šu-ištar gír ša a-šùr iṣ-bu-tù-ni-ma a-šùr-i-mì-tí dumu a-mur-lu-ṣú ù a-bu-ša-lim dumu a-šùr-e-mu-qí pí-šu-nu iš-me-ú-ni <gap>-ni <gap> a-šur <gap> ṭup-pu <gap> a-bi-ni,for these proceedings concerning ilī-bāni son of amur-aššur and ahu-waqar son of šu-ištar - they seized aššur's dagger and aššur-imittī son of amur-luṣu and abu-šalim son of aššur-emūqī heard their statement. <gap>
urudu 18 gú 6 ma-na urudu i li-bi i-dí-a-šur a-lá-an,"the rest of the copper, 18 talents 6 minas of copper, is in iddin-aššur's possession."
a-nim mì-ma i li-bi-šu ú-lá,apart from this nothing is in his possession.
i-ba-ší šu-ma a-na qá-ta-tí-šu-nu en-um-a-šur ù i-ku-pí-a i-ma-ṣí-ú qá-ta-tí-šu-nu li-il₅-qé-ú-ma ší-bi šu-uk-na-šu-nu-tí bé-lu-ni a-tù-nu,"if ennam-aššur and ikūn-pīya take responsibility for their shares, they may receive their shares, but set witnesses for them."
ú tí-ir-ta-ku-nu li-li-kam ù bé-lu kù.babbar ma-du-tum ša lá il₅-qé-ú-ni a-hu-ru,"our dear lords, also, send us word, for a great many creditors who have received nothing remain."
šu-ut-ma kù.babbar a-nim a-ha-a ú-ša-qí-il₅,"he is to say: this silver i paid in different places."""""
<gap> ša-lim-ar-dí ú šu-nu-nu áp-qí-id igi a-šùr-i-dí dumu,<gap> i entrusted to šalim-wardī and šu-nūnu.
mu-mu-lá-nim igi a-šur-ta-ak-lá-ku dumu i-ku-nim dumu sá-ma-a mì-ma a-nim a dur₄-hu-mì-it <gap> ša ki-ma i-a-tí ú-šé-bi₄-il₅,"witnessed by aššur-idī son of mu-mulānum, by aššur-taklāku son of ikūnum son of samaya."
igi a-šùr-i-mì-tí igi iš-me-dingir igi bi-<gap> dumu ha-na-ni-a igi dingir.sipa dumu ša-ak-ṣí-im,"witnessed by aššur-imittī, by išme-ilum, by bi<gap> son of hannāniya, by ilī-rē'ī son of šakṣum."
i-šu itu.kam a-lá-na-tim,contracted in month xii.
a-na itu.kam i-ša-qal,he will pay within a month.
igi a-šur-i-dí,witnessed by aššur-idī
um-ma bu-bu-ra-num-ma a-na a-bi₄-a ù a-šùr-du₁₀ qí-bi-ma a-na a-šùr-du₁₀ qí-bi-ma iš-tù na-ar-ma-ak-a-šur ba-dí-a a-ma-kam wa-ša-áb-ma,"from buburānum to abiya and aššur-ṭāb; specifically to aššur-ṭāb: badiya has lived there since the month narmak-aššur, and you just kept silent."
ù a-ta ta-áš-ta-pu šu-ma a-hu-a a-tù-nu iš-tí a-li-ki-im pá-nim-ma pì-iq-da-ni-šu-ma a-na a-lim{ki} li-li-kam-ma,"if you are truly my brothers, then hand him over to the very first caravan and let him come to the city, and i shall pay his fees."
da-a-sú a-ša-qal šu-ma a-lá-kam lá i-mu-a a-pu-tum,"if he refuses to come, then it is important that he does not cheat you."
lá i-ṣa-li-ku-nu kà-sí-a-šu-ma šé-ri-a-ni-šu,bind him and have him brought.
en-na-num dumu ku-zi-a ub-lá-ku-um a-hi a-ta na-áš-pè-ra-tim ša a-lim{ki} ša en-na-num ub-lá-ku-ni i-hi-id-ma a ba-tí-qí-im pá-ni-im-ma dí-in-ma,"my dear brother, pay attention to the missives from the city that ennānum brought to you, and give it (an answer?) to the very first express transport so they may bring it."
lu-ub-lu iš-tí wa-ṣí-im pá-ni-im-ma lu-ṣí-am,he should leave with the first travellers to depart.
um-ma a-šur-ša-du-e a-mu-ur-ša-ra-sà ù ša-lim-wa-ar-dim-ma a-na a-lá-hi-im qí-bi-ma 31 ma-na an.na ku-nu-ki-kà,"from aššur-šadū'e, amur-šarrassa and šalim-wardī to ali-ahum: šalim-wardī brought 31 minas of tin under your seal."
