oare_id,source,match_key,akkadian,english,confidence,src_len,tgt_len,ratio
17cf8012-b381-6fc7-d72e-39bd1d3964aa,archive_alias,"Cct 4, 1b",iš-tí tap-pá-e-a lá-pì-it ì-lí-šu-gan dumu na-ni ṣa-ba-at-ma pá-šu-ra-am pá-ni-a-ma ša-dí-in,seize ili-sukkal son of nanni and make him hand over the good quality retail goods at once.,20,10,17,1.7
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,pá-ni-im-ma šé-bi4-lam lu-qú-tám ša šé-pí-kà za-ki-a-ma tí-ib-a-ma,"clear the goods from your own caravan, set out and come here.",20,7,12,1.714
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,ú-ṣú-ur-ša-a-šùr ub-lá-ku-nu-tí ig-ri sà-ri-dim ša-bu mì-ma lá ta-da-na-šu-um,he has been paid the wages for a donkeydriver; do not give him anything.,20,8,14,1.75
7a563f13-abf1-0749-ced9-41ed3f3fb851,archive_alias,"Cct 5, 6a",a-i-a-tum ma-áš-kà-na-tù-a e-la ma-la ma-áš-kà-tám,should i make another deposit on top of that?,20,5,9,1.8
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",e-ra-bi-kà-ma ki-ma šu-ul-mì-kà šé-bi4-lá-am šu-ma a-ḫi,"if you are truly my brother, do not make me angry.",20,6,11,1.833
2cb3d8ef-f49f-8419-6238-684ea925da30,archive_alias,"TC 3, 95",bi4-il5 šu-ma a-ḫu-a-a a-tù-nu ḫi-da-ma gi-mì-lam i-ṣé-ri-a,"if you are truly my brothers, take care cpd do me this favour.",20,7,13,1.857
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",ša dingir i-ṣí-ra-ku-ni lá ta-tù-ar ta-tù-ar-ma ta-ḫa-li-iq,do not renounce the decision that the god has drawn up for you.,20,7,13,1.857
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",lá-pu-ta-ku-ni i-na ni-kà-sí le-eš-ku-nu ù a-ta 6 ma-na 8,"the tin for which i was booked in the tablet, let them claim that at the accounting.",20,9,17,1.889
6d3168f3-99ba-46a2-865f-3e60fd30e30a,archive_alias,KUG 27,tù-lá-ma-an a-na a-wi-li aḫ-ša-aḫ-ma al-qé,"i wanted it for the men, so i took it.",20,5,10,2.0
d60df513-c13c-44d3-961c-27e98700a132,archive_alias,KUG 48,a-wa-at a-lim{ki} lá tí-de8 a-na-kam,don't you know the state of affairs in the city?,20,5,10,2.0
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",šé-bi4-lá-am a-pu-tum qá-tí a-na ni-kà-sí i-ta-dí,"please, let my share be deposited at the time of the accounting.",20,6,12,2.0
2cb3d8ef-f49f-8419-6238-684ea925da30,archive_alias,"TC 3, 95",a-na 25 ḫa-am-ša-tim šu-ma lá i-ma-ga-ar-ku-nu a-na 30,"if he does not agree with you, then draw it up for 30 or 35 weeks.",20,8,16,2.0
e1b37ff6-1fe1-4d64-96de-9167ebd74e94,excavation_match,Kt c/k 470+767,mì-ma a-nim i ma-a-ma áš-qúl,all this i paid in mama.,20,5,6,1.2
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,lu-bi4-il5 šu-ma lá-šu a-šar wa-áš-bu šé-bi4-lá-šu-um,"if he is absent, then send it to him where he is staying.",20,6,13,2.167
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,la ta-da-na-šu-um i-na ša šé-pì-šu,he took a lot of tin from his own carav an.,20,5,11,2.2
7a563f13-abf1-0749-ced9-41ed3f3fb851,archive_alias,"Cct 5, 6a",3 gín la-dí a šu-ma la i-ma-gu5-ru sà-li-a-ma a-mì-šál a-we-el,"if they do not agree with you, then implore them that i may stand only for half a share of a man.",20,10,22,2.2
7a563f13-abf1-0749-ced9-41ed3f3fb851,archive_alias,"Cct 5, 6a",gi-mì-lam i-ṣé-ri-a šu-ku-na iḫ-da-ma a-na mì-šál a-we-el la-zi-iz a-ni-tum la a-ni-tum té-er-ta-ak-nu,take care to have me stand only for half a share of a man send me word whether this is so or not as soon as possible.,20,12,27,2.25
6d3168f3-99ba-46a2-865f-3e60fd30e30a,archive_alias,KUG 27,gín 15 še wa-ṣí-tum ta-áš-pu-ra-ma ú-ṣí-ib 5.5 ma-na kù.babbar ša,"the export duty was 1/2 shekel 15 grains; you wrote me about it, and i added it.",19,10,17,1.7
2cb3d8ef-f49f-8419-6238-684ea925da30,archive_alias,"TC 3, 95",a-na a-šùr-na-da pì-iq-da ù túg.ḫi.a ma-lá ta-le-e-a-ni ad-ma-ta-ni,"also, make him take as many textiles as cp investment as you ccp.",19,8,13,1.625
d546d6e3-fd34-4c32-a586-78989a79ecbe,archive_alias,POAT 5 | L29-558,šu-ma ḫa-ra-šu a-ni an.na-ki ù túg.ḫi-tí-a i-na ṣé-er dam.gàr ke-nim a-na u4-me id-a dam.gàr,"if he is on a journey, well, then entrust my tin and my textiles with a trustworthy agent in commission . on fixed terms.",19,14,24,1.714
7a563f13-abf1-0749-ced9-41ed3f3fb851,archive_alias,"Cct 5, 6a",i pá-ni-e-ma li-li-kam iš-tí kù.babbar-pí-a 4.5 ma-na ša ku-ru-ub-ištar ba-áb-tám e-zi-ba-ku-nu-tí-ni,together with my other silvet i left 4 1/2 minas belonging to kurub-istar as an outstanding claim with you.,19,11,19,1.727
697978cd-335f-e80a-5f59-09d494407510,archive_alias,"Cct 4, 1a",a-wa-at ì-lí ú-ṣú-ur a-na ni-ki-iš-tim,"please, please heed the words of the gods!",19,5,8,1.6
c39bdff0-fd1b-cfeb-f17e-d5261b6da6d7,archive_alias,Cole 8,ma-na 1.5 gín 8 gín kù.babbar iš-tí dumu,i borrowed 8 shekels of silver from the son of abu-salim and his partner.,19,8,14,1.75
17cf8012-b381-6fc7-d72e-39bd1d3964aa,archive_alias,"Cct 4, 1b",an.na a-na illat šu-ku-un ší-im urudu ša a-na a-mu-re-e áš-qú-lu i-na ṭup-pì-im,"the price of the copper, which i paid to the amorites, has been booked in the tablet together with my partners.",19,12,21,1.75
