akkadian,english,confidence,src_len,tgt_len,ratio
me-et 17 gú urudu sig₅ ha-bu-lam,he owes me 17 talents of copper of good quality.,22,6,10,1.667
na-pá-al-tù-šu šu-up-ra-nim ù 5 gú urudu,he must also pay 5 talents of copper of šu-ištar.,22,6,10,1.667
ša sà-li-bu ha-bu-lu-ni a-dí-ni ú-lá ni-im-hu-ur,the silver that salibu owes we have not yet received.,22,6,10,1.667
ku-<gap> lu-ub-lam <gap>-nu-<gap> i ha-hi-im ra,the servant of the s. of kasiya should bring it.,22,6,10,1.667
urudu a-na ha-nu a ší-a-ma-tim a-dí-in,i gave 10 minas of copper to hanu for purchases.,22,6,10,1.667
a-dí-šu-um té-er-ta-kà li-li-kam-ma a-šar pá-nu-im pá-ni-ší,send me a word and dispose of it wherever possible.,22,6,10,1.667
5 gú urudu iš-tí ku-ur-zi-a ù,5 talents of copper is owed by kurziya and šu-nisaba.,22,6,10,1.667
ub-lam urudu nu-sá-ni-iq-ma 1 gú-tum 1,"today we checked your seal, and 8 shekels were missing.",22,6,10,1.667
ší-sí-a ù am-ma ša ki-ma i-a-tí,"let my brother šalim-aššur come, and then settle with him.",22,6,10,1.667
ma-ah-ri-kà-ma iṣ-bu-tù a-ma-kam ṣa-ba-sú-nu-ma urudu li-dí-nu-ni-ku-um,seize them there and have them give you the copper.,22,6,10,1.667
3 ma-na urudu a qá-tí-šu ni-dí-in,we gave him 3 minas of copper to dispose of.,22,6,10,1.667
ku-nu-ki-šu šu-hu-bur-ma na-áš-a-kum gán-lam₅ a-šu-mì šu-ki-tim-ma,it passes overland in the name of šukkutum as well.,22,6,10,1.667
ma-lá ta-dí-na-šu-ni li-li-kam ṭup-pì-a ú hu-ur-ša-am,you have to seal for my tablets and the store-room.,22,6,10,1.667
a-ša-me-ma a-na ku-ta-ni ší-mu-um i-na kà-ni-iš,i hear that there is a market for in kanesh.,22,6,10,1.667
pá-hi-ra ší-lá-tum lá i-ba-ší a-ša-me-ma en-na-sú-in,i hear that enna-suen has come up from the city.,22,6,10,1.667
qí-bi-ma šál-ma-ku lu ha-dí-a-ni₇ mì-ma i-ṣé-ri-a,let us be glad! šalim-aššur took nothing on my account.,22,6,10,1.667
lá i-sà-hu-ur ṭù-ur-da-ni-šu-ma uz-né-kà id-a sà-he-er-tám,"eništārum should not be delayed, send him and listen closely.",22,6,10,1.667
a-na be-li-a ú-ba-lá-aṭ a-ma-kam sà-ni-iq-šu-ma lu-ma-li-kum,check him there so he may pay you in full.,22,6,10,1.667
iš-tù-i-ša-qal ha-mu-uš-tim ša a-šur-ta-ak-lá-ku ù kà-sí-a a-na 30 ha-am-ša-tim,reckoned from the week of aššur-taklāku and kasiya he is to pay in 30 weeks.,22,9,15,1.667
15 ma-na urudu ma-sí-a-am i-na áb-na-tí-ni i-na ṣé-er ú-na-bi₄,"unabi and ašiat owe 15 minas of washed copper, weighed with our stones, to luzi.",22,9,15,1.667
ù ṣí-ba-sú ša-áš-qí-il₅-šu ù a-ha-ma 25 ma-na urudu sig₅,"also, he furthermore owes me 25 minas of good copper, the price of a donkey.",22,9,15,1.667
a-ha-zi-im i-za-az ša-i-lá-ma lu dumu a-šur lu nu-a-um ší-be-e,"make inquiries and whether it is an assyrian or an anatolian, set witnesses against him.",22,9,15,1.667
ṭup-pá-am ša a-lim{ki} ú ra-bi-ṣa-am ša be-li-a lá ú-na-ah,i shall not obstruct the tablet from the city and the attorney of my lord.,22,9,15,1.667
nu-šé-ṣí 3 gú urudu ší-kam ša-lim-wa-ar-dim i-dí-ni-a-tí ma-lá i-na,he will credit you there with as much as he received from your outstanding claims.,22,9,15,1.667
té-zi-ba-ni i-na qá-qí-ri-im da-nim a-nim a-a-kam lá-al-qé-ma lu-ša-ki-il₅ a-na-ku,from where shall i get anything so i can feed anyone under these harsh conditions?,22,9,15,1.667
lugal-{d}im mì-ma lá ub-lam ù šu-ma be-ú-lá-tí-ku-nu ba-at-qá-tù-nu a-na-ku,"also, if you are in arrears with your working capitals, i shall personally pay them.",22,9,15,1.667
i-šu iš-tù ha-muš-tim ša a-šur-i-mì-tí ù a-mur-ištar a-na 2,reckoned from the week of aššur-imittī and amur-ištar he is to pay within 2 months.,22,9,15,1.667
a-hu-ú-a a-tù-nu lu a-wa-tum ba-at-qá-at a-ni-tum lá a-ni-tum tí-ir-ta-ak-nu li-li-kam-ma uz-ni pè-té-a,"my dear brothers, send me word and inform me one way or the other whether the affair has been settled.",22,12,20,1.667
e-na-a-šùr a ša-pár-tim ú-kà-al i-na a-lá-ak dumu a-na-<gap> ú maškim ša ì-lí-pí-ú-ṣur,when ana-x's son and ili-pi-usur's attorney come here they will pay me the silver and i will release the gods.,22,12,20,1.667
a-pu-tum a-na a-wi-il₅-tim lá ta-pá-ṭí-ri ú mì-ma lá ta-dí-ni-ší-im ú iš-tí e-wa-ri-mu-ša,"my dear brothers, instruct her there so that there will be no wrongdoing in my storeroom to make me unhappy.",22,12,20,1.667
a-lá-hi-im i-da-an a-ha-ma a-na 1 ma-na 7 gín ša ší-ta ta-ah-sí-sà-tí-a a-za-kà-ar-šu-ma,"further, i shall formally state to him the 1 mina 7 shekels from my two memoranda, and he must pay.",22,12,20,1.667
